file,id,part,station,verses,title,sections,sha256_12
H07-00-INTRO/H07-COVER-01.png,H07-COVER,1/1,,,,,20b05b0b92d9
H07-00-INTRO/H07-DESC-01.png,H07-DESC,1/1,,,,وصف الحزب,cd9adceea2aa
H07-00-INTRO/H07-MAP-01.png,H07-MAP,1/2,,,,خريطة المحطات,8345074fbf86
H07-00-INTRO/H07-MAP-02.png,H07-MAP,2/2,,,,خريطة المحطات,b42d66b38e9e
H07-ST01/H07-ST01-OPEN-01.png,H07-ST01-OPEN,1/1,١,٩٢–١٠١,افتتاحية المحطة,افتتاحية المحطة + سؤال المحطة,d683e8131c24
H07-ST01/H07-C001-01.png,H07-C001,1/2,١,٩٢,البرّ يُنال بما تحبّ,القرآن + تفسير السعدي,90bb4b467937
H07-ST01/H07-C001-02.png,H07-C001,2/2,١,٩٢,البرّ يُنال بما تحبّ,تدبر الفؤاد,28551704349e
H07-ST01/H07-C002-01.png,H07-C002,1/3,١,٩٣–٩٥,الحجّة من الكتاب نفسه,القرآن + تفسير السعدي,3f25941e98a9
H07-ST01/H07-C002-02.png,H07-C002,2/3,١,٩٣–٩٥,الحجّة من الكتاب نفسه,تفسير السعدي,b03e9ba0ccba
H07-ST01/H07-C002-03.png,H07-C002,3/3,١,٩٣–٩٥,الحجّة من الكتاب نفسه,تدبر الفؤاد,3dcdf2c68576
H07-ST01/H07-C003-01.png,H07-C003,1/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,القرآن + تفسير السعدي,862825d99771
H07-ST01/H07-C003-02.png,H07-C003,2/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,63f8f2084b15
H07-ST01/H07-C003-03.png,H07-C003,3/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,0416e63f9262
H07-ST01/H07-C003-04.png,H07-C003,4/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,21b461f04b57
H07-ST01/H07-C003-05.png,H07-C003,5/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,f6950711271e
H07-ST01/H07-C003-06.png,H07-C003,6/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,b37fbcd2bf1b
H07-ST01/H07-C003-07.png,H07-C003,7/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,f3c9e7f35b01
H07-ST01/H07-C003-08.png,H07-C003,8/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,522c0d125db2
H07-ST01/H07-C003-09.png,H07-C003,9/9,١,٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تدبر الفؤاد,e66196e97375
H07-ST01/H07-C004-01.png,H07-C004,1/3,١,٩٨–١٠٠,لمن أُسلِم زمام التوجيه؟,القرآن + تفسير السعدي,745686a132bc
H07-ST01/H07-C004-02.png,H07-C004,2/3,١,٩٨–١٠٠,لمن أُسلِم زمام التوجيه؟,تفسير السعدي + تدبر الفؤاد,5d0cc11eac4d
