file,id,part,folder,station_page,l2,verses,title,sections,sha256_12
H07-00-INTRO/H07-COVER-01.png,H07-COVER,1/1,H07-00-INTRO,1/5,مقدمة الحزب,,,,fe65c2f55336
H07-00-INTRO/H07-DESC-01.png,H07-DESC,1/1,H07-00-INTRO,2/5,مقدمة الحزب,,,وصف الحزب,9d3ba026c43c
H07-00-INTRO/H07-MAP-01.png,H07-MAP,1/3,H07-00-INTRO,3/5,مقدمة الحزب,,,خريطة المحطات,6e3d3813e219
H07-00-INTRO/H07-MAP-02.png,H07-MAP,2/3,H07-00-INTRO,4/5,مقدمة الحزب,,,خريطة المحطات,352927df865b
H07-00-INTRO/H07-MAP-03.png,H07-MAP,3/3,H07-00-INTRO,5/5,مقدمة الحزب,,,خريطة المحطات,a0200ef41474
H07-ST01/H07-ST01-OPEN-01.png,H07-ST01-OPEN,1/1,H07-ST01,1/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,٩٢–١٠١,,افتتاحية المحطة + سؤال المحطة,f6eb4754bbd7
H07-ST01/H07-C001-01.png,H07-C001,1/2,H07-ST01,2/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٢,البرّ يُنال بما تحبّ,القرآن الكريم + تفسير السعدي,4bbf4bea85d4
H07-ST01/H07-C001-02.png,H07-C001,2/2,H07-ST01,3/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٢,البرّ يُنال بما تحبّ,تفسير السعدي + تدبر الفؤاد + سؤال للتأمل,d035c022e6e6
H07-ST01/H07-C002-01.png,H07-C002,1/4,H07-ST01,4/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٣–٩٥,الحجّة من الكتاب نفسه,القرآن الكريم + تفسير السعدي,1c90a283d5d4
H07-ST01/H07-C002-02.png,H07-C002,2/4,H07-ST01,5/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٣–٩٥,الحجّة من الكتاب نفسه,تفسير السعدي,646d4d0c65f5
H07-ST01/H07-C002-03.png,H07-C002,3/4,H07-ST01,6/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٣–٩٥,الحجّة من الكتاب نفسه,تفسير السعدي + تدبر الفؤاد,dd69b1d45b1a
H07-ST01/H07-C002-04.png,H07-C002,4/4,H07-ST01,7/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٣–٩٥,الحجّة من الكتاب نفسه,تدبر الفؤاد + سؤال للتأمل,63758abe26d6
H07-ST01/H07-C003-01.png,H07-C003,1/13,H07-ST01,8/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,القرآن الكريم + تفسير السعدي,5096ca6cb093
H07-ST01/H07-C003-02.png,H07-C003,2/13,H07-ST01,9/25,المحطة ١ من ٩ · آل عمران ٩٢–١٠١,آل عمران ٩٦–٩٧,بيتٌ يهدي، وفريضةٌ بقدر الاستطاعة,تفسير السعدي,9c9fb8a45db3
